doctor_name,qualification,specialization,designation,chamber,division,image_url,profile_url,,
Prof. Dr. Mahboob-E-Haseeb Shahryar Sabet,"MBBS, FCPS (Surgery), MD (USA)","Neurosurgery (Brain, Nerve, Spine Surgery) Specialist","Senior Consultant, Neurosurgery",Uttara Adhunik Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-M.H.-Shahryer-Sabet.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-mahboob-e-haseeb-shahryar-sabet/,,
Prof. Dr. Golam Mahmud Selim,"MBBS, FCPS (Medicine), FACP (USA), FRCP (Glasgow), FRCP (Edinburgh)",Medicine Specialist,"Former Professor & Head, Department of Medicine",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Prof.-Dr.-Golam-Mahmud-Selim.jpg,https://doctorsdirectory.com.bd/add-doctor/prof-dr-golam-mahmud-selim/,,
Dr. Masum Ahmed,"MBBS, FCPS (Medicine), MD (Chest Diseases)",Chest Diseases & Medicine Specialist,"Assistant Professor, Respiratory Medicine",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Masum-Ahmed.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-masum-ahmed/,,
Dr. M. Saleh Uddin,"MBBS, MCPS (Medicine), MD (Cardiology), FICC, FCSI, FACP, FISC, FCCP (USA)","Medicine, Cardiology, Rheumatology & Hypertension Specialist","Associate Professor & Head, Cardiology",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-M.-Saleh-Uddin.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-m-saleh-uddin/,,
Dr. Md. Mohsin Howlader,"MBBS, FCPS (Radiotherapy)",Cancer Specialist,"Consultant, Radiotherapy",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Md.-Mohsin-Howlader.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-md-mohsin-howlader/,,
Dr. Amitabh Sarkar,"MBBS, MD (Neurology)","Brain, Stroke, Nerve, Medicine & Neuromedicine Specialist","Consultant, Neurology",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Amitabh-Sarkar.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-amitabh-sarkar/,,
Dr. Shahnaz Shimul,"MBBS, BCS (Health), DGO (BSMMU)",Gynecologist & Surgeon,"Consultant, Gynecology & Obstetrics",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Shahnaz-Shimul.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-shahnaz-shimul/,,
Dr. Md. Mushfiquzzaman,"MBBS, BCS (Health), D-CARD (NICVD)",Cardiology & Heart Specialist,"Consultant, Cardiology",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Md.-Mushfiquzzaman.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-md-mushfiquzzaman/,,
Dr. Shamim Ahmed,"MBBS, BCS (Health), FCPS (Medicine), MD (Cardiology)","Cardiology, Diabetes & Medicine Specialist","Consultant, Cardiology",National Institute of Cardiovascular Diseases & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Shamim-Ahmed.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-shamim-ahmed/,,
Dr. A K Choudhary Apurba,"MBBS, BCS (Health), MS (CVTS)",Cardiovascular & Thoracic Specialist Surgeon,"Consultant Surgeon, Cardiac Surgery",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-A-K-Choudhary-Apurba.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-a-k-choudhary-apurba/,,
Dr. Md. Afjal Hossain,"MBBS, BCS (Health), MD (Cardiology), MACP (USA)","Cardiology (Heart Diseases, Hypertension, Rheumatic Fever) Specialist","Cardiologist, Cardiology",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Md.-Afjal-Hossain.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-md-afjal-hossain/,,
Dr. Sharafat Nurul Islam,"MBBS (DMC), BCS (Health), FCPS (Medicine), MD (Cardiology)",Cardiology & Medicine Specialist,"Associate Professor & Head, Cardiology",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Sharafat-Nurul-Islam.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-sharafat-nurul-islam/,,
Dr. Sirajus Salekin,"MBBS, BCS (Health), MD (Oncology)",Cancer Specialist,Indoor Medical Officer,Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr-Sirajus-Salekin.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-sirajus-salekin/,,
Dr. Farhana Khan,"MBBS, BCS (Health), MD (Oncology)",Cancer Specialist,"Consultant, Radiotherapy",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-Farhana-Khan.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-farhana-khan/,,
Dr. A.N.M. Mainul Islam,"MBBS (Dhaka), BCS (Health), MPhil (Radiotherapy)",Cancer & Tumor Specialist,"Assistant Professor & Head, Radiotherapy",Sher-E-Bangla Medical College & Hospital,Barishal,https://doctorsdirectory.com.bd/wp-content/uploads/2025/02/Dr.-A.N.M.-Mainul-Islam.jpg,https://doctorsdirectory.com.bd/add-doctor/dr-a-n-m-mainul-islam/,,
