hospital_name,district,upazila,latitude,longitude,category,contact
Nawabgonj Clinic $ Digital Diagonostic Centre,Dhaka,Nawabganj,23.67,90.16,Private,
BNK Hospital Limited,Dhaka,Shajahanpur,23.74,90.41,Private,
Lab Zone (Pvt.) Ltd.,Dhaka,Savar,23.85,90.26,Private,
NAHAR GENERAL HOSPITAL,Dhaka,Savar,23.858,90.266,Private,
Lion A Badal Eye and General Hospital,Dhaka,Khilgaon,23.75,90.43,Private,
DR. MUAZZAM MEDICAL (DIAGNOSTIC) CENTER,Dhaka,Mirpur,23.8,90.35,Private,
Mediline Health Management Ltd.,Dhaka,Dakshinkhan,23.86,90.41,Private,
SAVAR EYE HOSPITAL & PHACO CENTRE,Dhaka,Savar,23.859,90.265,Private,
YORK Hospital Ltd,Dhaka,Banani,23.79,90.4,Premium,
AL EMIRAT MEDICAL SERVICES,Dhaka,Banani,23.794,90.404,Private,
AUTHENTIC HOSPTAL,Dhaka,Chak Bazar,23.72,90.39,Private,
Bellevue Diagnostic Centre,Dhaka,Khilgaon,23.753,90.421,Private,
BIPSH MEDICAL SERVICES LTD.,Dhaka,Dhanmondi,23.74,90.37,Private,
Care Diagnostic Center,Dhaka,Khilgaon,23.751,90.425,Private,
Dhanmondi Hospital (PVT) LTD.,Dhaka,Kalabagan,23.746,90.385,Private,
Doctors Care Hospital & Diagnostic Centre,Dhaka,Mohammadpur,23.76,90.36,Private,
Happy General Hospital & Diagnostic Center,Dhaka,Savar,23.92,90.28,Private,
Hi-Care General Hospital Ltd.,Dhaka,Uttara Paschim,23.87,90.39,Private,
JamJam Diagnostic Center,Dhaka,Mugda Para,23.73,90.43,Private,
Japan Bangladesh Friendship Hospital Ltd.,Dhaka,Lalbagh,23.74,90.37,Premium,
LIFE SUPPORT DIAGNOSTIC CENTER,Dhaka,Mirpur,23.805,90.355,Private,
NEW DHAKA MODERN CLINIC,Dhaka,Bangshal,23.71,90.4,Private,
R M DIAGNOSTIC COMPLEX,Dhaka,Savar,23.93,90.29,Private,
Somota Medical & Diagnostic Centre,Dhaka,Savar,23.91,90.27,Private,
UTTARA LAKE VIEWS SPECIALIZED HOSPITAL (PVT) LTD,Dhaka,Uttara Paschim,23.875,90.395,Private,
A.F. MEDICAL CENTRE,Dhaka,Motijheel,23.733,90.41,Private,
ADVANCE HEALTH CARE,Dhaka,Bhatara,23.81,90.42,Private,
Al Mutmainnah Maa O Shishu Hospital,Dhaka,Sabujbagh,23.735,90.435,Private,
AL-MADINA MEDICAL SERVICES,Dhaka,Gulshan,23.77,90.4,Private,
ANAS MEDICAL CENTER,Dhaka,Gulshan,23.775,90.41,Private,
Asa-Shafi Medical Center,Dhaka,Mirpur,23.81,90.36,Private,
ASHIC PALLIATIVE CARE UNIT,Dhaka,Dhanmondi,23.742,90.375,Private,
Ashiyan Medical College Hospital,Dhaka,Khilkhet,23.83,90.45,Private,
Ashraf Aleya Hospital,Dhaka,Savar,23.94,90.285,Private,
Asia General Hospital And Diagnostic Centre,Dhaka,Jatrabari,23.71,90.44,Private,
Asian Diagnostic Center,Dhaka,Keraniganj,23.68,90.34,Private,
Bangladesh Institute Of Health Sciences General Hospital,Dhaka,Mirpur,23.79,90.34,Private,
Bangladesh Life care Hospital,Dhaka,Keraniganj,23.685,90.345,Private,
BANGLADESH SPINE & ORTHOPAEDIC GENERAL HOSPITAL,Dhaka,Mirpur,23.785,90.355,Premium,
Better Life Hospital Ltd.,Dhaka,Rampura,23.76,90.42,Private,
BIO Plastic Surgery Clinic,Dhaka,Banani,23.795,90.405,Premium,
Biolife Healthcare & Diagnostic Ltd,Dhaka,Bhatara,23.82,90.42,Private,
CARE & CURE DIAGNOSTIC CENTRE LIMITED,Dhaka,Badda,23.78,90.43,Private,
CHOWDHURY CLINIC & DIAGNOSTIC CENTER,Dhaka,Bangshal,23.725,90.395,Private,
COMFORT MEDICAL CHECK-UP CENTRE,Dhaka,Kalabagan,23.748,90.385,Premium,
DEPARTMENT OF PATHOLOGY NIBEDITA SHISUH HOSPITAL,Dhaka,Wari,23.715,90.415,Private,
Doctors Support Center,Dhaka,Gulshan,23.772,90.402,Private,
DOLFIN HOSPITAL & INFERTILITY CENTERE,Dhaka,Kamrangir Char,23.71,90.36,Private,
EchoLab Medical Services,Dhaka,Paltan,23.735,90.415,Private,
Egos Health Care & Diagnosis,Dhaka,Mohammadpur,23.765,90.345,Private,
FAIR DIAGNOSTIC COMPLEX,Dhaka,Sutrapur,23.705,90.425,Private,
FAISAL HEALTH EXPRESS SERVICE LIMITED,Dhaka,Mirpur,23.815,90.365,Private,
Fatema Maa-o- Shishu General Hospital,Dhaka,Mirpur,23.795,90.375,Private,
FATIMA MEDICAL & DIAGNOSTIC CENTER,Dhaka,Dakshinkhan,23.865,90.415,Private,
Founder Health Care & Hospital Limited,Dhaka,Keraniganj,23.69,90.3,Private,
GENX HEALTH LIMITED,Dhaka,Adabor,23.77,90.35,Private,
Green Lab Diagnostic Centre,Dhaka,Lalbagh,23.72,90.38,Private,
H DIAGNOSTIC CENTER,Dhaka,Kalabagan,23.745,90.385,Private,
Hazrat Sayed Almir Hossan Kanchonpuri Digital Lab,Dhaka,Savar,23.8,90.3,Private,
HEALTH CARE DIAGNOSTIC CENTRE,Dhaka,Savar,23.83,90.28,Private,
Holy Diagnostic Center,Dhaka,Dhamrai,23.91,90.22,Private,
Holy General Hospital,Dhaka,Dhamrai,23.915,90.225,Private,
Huma Health Centre-2,Dhaka,Paltan,23.738,90.418,Private,
Human Aid Research Lab.,Dhaka,Mirpur,23.78,90.36,Private,
Ifthi Diagnostic & Medical Center,Dhaka,Paltan,23.73,90.41,Private,
Indira IVF Bangladesh Limited,Dhaka,Mohammadpur,23.75,90.37,Premium,
INOVA DIAGNOSTIC CENTER,Dhaka,Cantonment,23.82,90.39,Private,
Integrated Medicare Ltd.,Dhaka,Tejgaon,23.755,90.395,Private,
Janata Clinic & Diagnostic Centre,Dhaka,Dhamrai,23.92,90.22,Private,
Central Health Checkup,Dhaka,Rampura,23.755,90.42,Private,
Central Hospital Limited,Dhaka,New Market,23.745,90.385,Premium,
CENTRE FOR KIDNEY DISEASES & UROLOGY HOSPITAL,Dhaka,Sher-e-bangla Nagar,23.77,90.37,Premium,
Centre For the Rehabilitation of the Paralysed,Dhaka,Bhasan Tek,23.815,90.385,Private,
Centre for the Rehabilitation of the Paralysed,Dhaka,Savar,23.84,90.26,Private,
Centre for Woman and Child Health,Dhaka,Savar,23.93,90.3,Premium,
Century Clinic and Diagnostic Center,Dhaka,Uttara Purba,23.865,90.4,Private,
Chandshi Medical Centre Ltd,Dhaka,Banani,23.795,90.405,Premium,
CHAYANICA HOSPITAL & DIAGNOSTIC CENTER LTD.,Dhaka,Dhamrai,23.915,90.22,Private,
check up point diagnostic and consultation center,Dhaka,Savar,23.935,90.305,Private,
Child Health Research Foundation,Dhaka,Mohammadpur,23.755,90.36,Private,
Chokher Sheba Clinic,Dhaka,Kafrul,23.795,90.39,Private,
Chowdhury General Hospital,Dhaka,Bangshal,23.725,90.395,Private,
CIMEC HEALTH,Dhaka,Dhanmondi,23.745,90.375,Private,
City Care General Hospital & Diagnostic Center,Dhaka,Mohammadpur,23.765,90.37,Private,
City General & Dental Hospital,Dhaka,Khilkhet,23.83,90.42,Private,
City Health Services Limited,Dhaka,Mohammadpur,23.76,90.355,Private,
City Hospital Ltd.,Dhaka,Mohammadpur,23.755,90.375,Premium,
City Lab,Dhaka,Savar,23.845,90.26,Private,
City lab Hospital,Dhaka,Savar,23.85,90.265,Private,
City Lab.,Dhaka,Pallabi,23.825,90.365,Private,
city lions eye hospital & optometry institute,Dhaka,Jatrabari,23.705,90.45,Private,
City Medical Centre,Dhaka,Bhatara,23.815,90.425,Private,
City Neon Medical and Diagnostic Center,Dhaka,Paltan,23.732,90.412,Private,
City Trauma General Hospital,Dhaka,Mohammadpur,23.76,90.365,Private,
City-1 Hospital,Dhaka,Dhamrai,23.918,90.222,Private,
CLEARVIEW MEDICAL AND DIAGNOSTIC CENTER,Dhaka,Paltan,23.734,90.414,Private,
CMC Health Care Ltd.,Dhaka,Tejgaon,23.75,90.39,Private,
CMED HEALTH LIMITED,Dhaka,Dakshinkhan,23.87,90.42,Private,
College Gate Diagnostic Centre,Dhaka,Mohammadpur,23.755,90.37,Private,
Combined Hospital Ltd,Dhaka,Kafrul,23.79,90.385,Private,
Comfort Diagnostic Centre (Pvt) Ltd.,Dhaka,Kalabagan,23.748,90.385,Premium,
COMFORT DIAGNOSTIC CENTRE LIMITED,Dhaka,Uttara Purba,23.87,90.4,Private,
COMFORT MEDICAL CHECKUP CENTER,Dhaka,Paltan,23.736,90.416,Private,
COMFORT NURSING HOME (PVT.) LIMITED,Dhaka,Kalabagan,23.748,90.385,Premium,
CONFIDENCE DIAGNOSTIC LTD,Dhaka,Mirpur,23.795,90.375,Private,
CONFIDENCE HEALTHCARE DIAGNOSTIC CENTER,Dhaka,Lalbagh,23.725,90.385,Private,
CONFIDENCE MEDICAL CENTRE,Dhaka,Tejgaon,23.77,90.4,Private,
Confirm Diagnostic Ltd.,Dhaka,Lalbagh,23.715,90.38,Private,
Consultation Center and Lab of Filaria Hospital,Dhaka,Savar,23.925,90.285,Private,
Cosmetic Surgery Centre Ltd.,Dhaka,Dhanmondi,23.745,90.375,Premium,
CREATIVE BLOOD BANK AND TRANSFUSION CENTER,Dhaka,Chak Bazar,23.718,90.395,Private,
Creative Lab & Hospital,Dhaka,Savar,23.932,90.302,Private,
Crescent Gastroliver & General Hospital Ltd.,Dhaka,Kalabagan,23.745,90.385,Premium,
CRESCENT HOSPITAL & DIAGNOSTIC COMPLEX LTD.,Dhaka,Mohammadpur,23.765,90.365,Premium,
CRITICAL DIAGNOSTIC CENTRE,Dhaka,Mohammadpur,23.755,90.375,Private,
CRL Diagnostics,Dhaka,Kalabagan,23.747,90.386,Private,
CRL Diagnostics (unit-2),Dhaka,Dhanmondi,23.748,90.387,Private,
CRP Consultation & Diagnostic Ltd.,Dhaka,Bhatara,23.815,90.425,Private,
Crystal Diagnostic,Dhaka,Gulshan,23.785,90.415,Premium,
CRYSTAL HEALTHCARE,Dhaka,Gulshan,23.784,90.414,Premium,
Cure and Smile Bangladesh Foundation,Dhaka,Tejgaon,23.76,90.395,Private,
Cure Consultation & Diagnostic,Dhaka,Demra,23.705,90.46,Private,
CURE GENERAL HOSPITAL & DIAGNOSTIC CENTER,Dhaka,Dhamrai,23.922,90.228,Private,
CURE HEALTH DIAGNOSTIC & CONSULTATION CENTRE,Dhaka,Keraniganj,23.705,90.355,Private,
CURE MEDICAL CENTRE LTD,Dhaka,Gulshan,23.775,90.415,Private,
CURE SPECIALIZED HOSPITAL LIMITED,Dhaka,Tejgaon,23.761,90.396,Premium,
Dahmashi Medical Center.,Dhaka,Tejgaon Ind. Area,23.765,90.405,Private,
Dakhinkhn Paribaric Shastha Seba Hospital,Dhaka,Dakshinkhan,23.875,90.425,Private,
DARUL AHMED MEDICAL SERVICES LIMITED,Dhaka,Rampura,23.758,90.422,Private,
DAWA MEDICAL CENTRE,Dhaka,Gulshan,23.815,90.425,Private,
D’Akbor Health Care Pvt Ltd.,Dhaka,Badda,23.818,90.43,Private,
De Apollo Diagnostic Center,Dhaka,Savar,23.855,90.265,Private,
Deen Mohd. Eye Hospital & Research Center,Dhaka,Sher-e-bangla Nagar,23.755,90.38,Premium,
Deep Clinic & Diagonstic centre,Dhaka,Savar,23.852,90.262,Private,
DEEP DIAGNOSTIC CENTER,Dhaka,Savar,23.94,90.3,Private,
DEEP GENERAL HOSPITAL,Dhaka,Savar,23.945,90.305,Private,
Delta Diagnostic & Health Services,Dhaka,Gendaria,23.705,90.425,Private,
Delta Health Care Jatrabari Ltd.,Dhaka,Shyampur,23.7,90.44,Private,
Delta Health Care Mirpur Ltd,Dhaka,Pallabi,23.815,90.365,Private,
Delta Health Care Rampura Ltd,Dhaka,Rampura,23.76,90.42,Private,
Delta Hospital Limited,Dhaka,Mirpur,23.785,90.355,Premium,
DELTA HOSPITAL LTD.,Dhaka,Uttara Purba,23.875,90.405,Private,
DESH DIAGNOSTIC & MEDICAL CENTRE,Dhaka,Lalbagh,23.715,90.385,Private,
Desh Diagnostic Center,Dhaka,Dhamrai,23.92,90.22,Private,
DESH DIAGNOSTIIC & MEDICAL CENTRE,Dhaka,Paltan,23.732,90.418,Private,
Deshbangla Hospital & Diagnostic Centre,Dhaka,Jatrabari,23.702,90.455,Private,
DEWAN CLINIC & DIAGNOSTIC COMPLEX,Dhaka,Nawabganj,23.665,90.155,Private,
